Designator,Mid X,Mid Y,Rotation,Layer
D1,59.69,2.0865,90.0,top
D2,62.865,2.0865,90.0,top
D3,66.04,2.0865,90.0,top
D4,69.215,2.0865,90.0,top
D5,72.39,2.0865,90.0,top
D6,75.565,2.0865,90.0,top
D7,78.74,2.0865,90.0,top
D8,81.915,2.0865,90.0,top
J1,84.47,41.67,90.0,top
J2,72.75,87.65,180.0,top
R1,59.69,5.1365,90.0,top
R10,74.93,46.31,90.0,top
R11,73.66,46.31,90.0,top
R12,72.39,46.31,90.0,top
R13,74.485,80.725,0.0,top
R14,70.93,80.725,180.0,top
R2,62.865,5.1365,90.0,top
R3,66.04,5.1365,90.0,top
R4,69.215,5.1365,90.0,top
R5,72.39,5.1365,90.0,top
R6,75.565,5.1365,90.0,top
R7,78.74,5.1365,90.0,top
R8,81.915,5.1365,90.0,top
R9,76.2,46.31,90.0,top
SW1,79.375,12.145,270.0,top
SW2,69.85,12.135,90.0,top
SW3,28.575,19.765,0.0,top
SW4,28.575,4.525,180.0,top
SW5,20.955,12.145,90.0,top
SW6,36.195,12.145,270.0,top
